Datetime,Longitude,Latitude,Kedalaman,Magnitude,Keterangan,Clus_Db
2019-01-01,111.92,-8.73,184,3.5,	Pusat gempa di laut 71 km Barat Daya TULUNGAGUNG-JATIM,-1
2019-01-02,112.38,-8.85,89,3.4,"	Pusat gempa di laut, 77 km BaratDaya KAB-MALANG-JATIM",-1
2019-01-07,109.09,-8.32,11,4.5,"	Pusat gempa di laut 69 km Tenggara CILACAP-JTENG.dirasakan di Pangandaran, Cilacap I-II MMI ",-1
2019-01-08,111.67,-8.85,10,3.0,Pusat gempa 	di laut 85 km BaratDaya TRENGGALEK-JATIM,-1
2019-01-09,113.61,-8.7,79,3.7,	Pusat gempa di laut 59 km BaratDaya JEMBER-JATIM,-1
2019-01-10,111.77,-8.74,30,2.7,	Pusat gempa dilaut 72 km tenggara Trenggalek-Jatim,-1
2019-01-12,111.99,-7.86,9,2.1,"	Pusat gempa di darat, 3 km BaratDaya KOTA-KEDIRI-JATIM",-1
2019-01-14,110.77,-8.87,17,2.8,	Pusat gempa di laut 85 km BD Pacitan,0
2019-01-21,108.86,-8.77,10,3.3,	Psat gempa di laut 120 km Barat Daya Cilacap - Jateng,-1
2019-01-25,112.75,-8.92,11,3.4,	Pusat gempa di laut 75 km Tenggara KAB-MALANG-JATIM,2
2019-01-26,114.8430958,-6.6,12,0.0,,-1
2019-01-29,111.32,-8.59,106,3.9,	Pusat gempa dilaut 51 km tenggara Pacitan - Jatim,-1
2019-01-30,112.23,-8.53,104,3.3,	Pusat gempa dilaut 44 km tengara Kab. Blitar-Jatim,-1
2019-02-04,109.46,-7.23,18,2.5,	Pusat gempa di darat 9 km TimurLaut PURBALINGGA-JATEN,-1
2019-02-06,111.57,-8.85,23,3.1,	Pusat gempa di laut 65 km BaratDaya Trenggalek Jatim,-1
2019-02-07,113.01,-8.58,99,3.2,	Pusat gempa di laut 49 km Tenggara KAB-MALANG-JATIM,2
2019-02-09,110.75,-7.93,25,2.2,	Pusat gempa didarat 18 km timur laut Gunungkidul-DIY,-1
2019-02-10,108.71,-8.52,25,3.6,	Pusat gempa di laut 93 km Tenggara KAB-PANGANDARAN-JABAR,-1
2019-02-15,112.8851937,-7.4,22,0.0,,-1
2019-02-17,112.54,-8.87,20,3.1,"	Pusat gempa di laut, 72 km BaratDaya KAB-MALANG-JATIM",2
2019-02-19,109.31,-6.65,11,2.7,	pusat gempa di laut 30 km BaratLaut PEMALANG-JATENG,-1
2019-02-25,107.9439739,-6.9,22,0.0,,-1
2019-03-02,110.96,-7.76,10,2.4,	Pusat gempa didarat 16 km BaratLaut WONOGIRI-JATENG,-1
2019-03-03,109.17,-8.39,30,4.0,"	Pusat gempa di laut, 78 km Tenggara CILACAP-JATENG",-1
2019-03-07,110.29,-8.7,31,3.0,	Pusat gempa dilaut 82 km BaratDaya GUNUNGKIDUL-DIY,1
2019-03-11,109.24,-8.69,10,2.9,	Pusat gempa di laut 112 km Tenggara CILACAP-JATENG,-1
2019-03-12,110.17,-5.78,570,4.9,	Pusat gempa dilaut 104 km BaratLaut JEPARA-JATENG,-1
2019-03-16,112.74,-8.68,15,3.2,	Pusat gempa di laut 48 km Tenggara KAB-MALANG-JATIM,2
2019-03-18,112.14,-8.96,10,3.9,"	Pusat gempa di laut, 92 km BaratDaya KAB-BLITAR-JATIM",-1
2019-03-19,111.93,-7.87,5,3.5,"Pusat gempa didarat 10 km BaratDaya KOTA-KEDIRI-JATIM di rasakan di Sawahan, Loceret dan Ngetor (Kab. Nganjuk) I-II MMI",-1
2019-03-23,110.11,-8.24,10,2.5,	Pusat gempa di laut 46 km BaratDaya BANTUL-DIY,-1
2019-03-24,112.52,-8.87,10,3.1,	Pusat gempa dilaut 81 km baratdaya Kab. Malang-Jatim,2
2019-03-25,107.5803459,-6.2,32,0.0,,-1
2019-03-29,111.16,-8.88,10,2.8,	Pusat gempa dilaut 78 km tenggara Pacitan-Jatim,0
2019-03-31,112.33,-8.98,10,2.7,	Pusat gempa dilaut 95 km Tenggara KAB-BLITAR-JATIM,-1
2019-04-01,111.01,-8.85,10,2.6,Pusat gempa di laut 75 km BaratDaya PACITAN-JATIM,0
2019-04-03,113.68,-8.93,10,2.2,	Pusat gempa di laut 81 km Tenggara JEMBER-JATIM,-1
2019-04-04,110.27,-8.81,26,3.1,	Pusat gempa di laut 98 km BaratDaya GUNUNGKIDUL-DIY,1
2019-04-07,108.8,-7.99,75,2.8,	Pusat gempa di laut 37 Km Barat Daya Cilacap - Jawa Tengah,-1
2019-04-09,110.7,-7.63,10,2.4,	Pusat gempa di darat 13 km Tenggara BOYOLALI-JATENG,-1
2019-04-11,112.11,-8.79,26,2.9,"	Pusat gempa di laut, 73 km BaratDaya KAB-BLITAR-JATIM",-1
2019-04-16,111.69,-8.63,21,2.6,"	Pusat gempa di laut, 60 km BaratDaya TRENGGALEK-JATIM",-1
2019-04-17,109.73,-8.6,5,3.0,	Pusat gempa di laut 99 km BaratDaya Kulonpogo,-1
2019-04-19,109.72,-8.51,27,2.8,	Pusat gempa di laut 91 km BaratDaya KULONPROGO-DIY,-1
2019-04-20,110.08,-8.26,84,3.1,	Pusat gempa di laut 50 km BaratDaya BANTUL-DIY,-1
2019-04-23,111.6,-7.34,8,2.9,"	Pusat gempa di darat, 18 km TimurLaut NGAWI-JATIM",-1
2019-04-27,109.84,-8.79,10,2.7,"	Pusat gempa di laut, 113 km BaratDaya BANTUL-DIY",-1
2019-05-01,111.11,-8.61,10,2.6,	Pusat gempa dilaut 47 km Tenggara Pacitan Jawa Timur,0
2019-05-02,113.3,-8.74,116,2.7,	Pusat gempa dilaut 67 km Tenggara LUMAJANG-JATIM,-1
2019-05-03,108.1110332,-5.7,50,0.0,,-1
2019-05-04,109.75,-8.28,94,2.9,	Pusat gempa di laut 68 km Tenggara KEBUMEN-JATENG,-1
2019-05-08,110.8239886,-7.3,50,0.0,,-1
2019-05-09,108.67,-8.23,68,3.2,	Pusat gempa di laut 61 km Tenggara KAB-PANGANDARAN-JABAR,-1
2019-05-11,109.68,-8.78,16,2.9,	Pusat gempa dilaut 119 km BaratDaya Kulonprogo - DIY,-1
2019-05-12,109.03,-7.99,79,2.9,	Pusat gempa dilaut 29 km Tenggara CILACAP-JATENG,-1
2019-05-13,111.82,-8.91,27,3.7,	Pusat gempa dilaut 92 km tenggara Trenggalek-Jatim,-1
2019-05-15,110.56,-8.12,128,2.4,	Pusat gempa di laut 20 km BaratDaya Gunung Kidul,-1
2019-05-16,112.48,-8.87,10,4.9,	pusat gempa di laut 82 km Barat daya Kab. Malang Jatim,-1
2019-05-17,107.2824069,-5.7,52,0.0,,-1
2019-05-18,112.58,-6.66,10,3.3,	pusat gempa di laut 54 km TimurLaut LAMONGAN-JATIM,-1
2019-05-22,110.78,-6.69,10,4.2,"	Pusat gempa di darat 14 km BaratLaut Kudus-Jateng. Dirasakan di Kudus, Demak dan Jepara II-III MMI",-1
2019-05-23,113.38,-8.28,157,4.1,	Pusat gempa di darat 23 km Tenggara LUMAJANG-JATIM,-1
2019-05-25,109.93,-8.59,116,2.9,	Pusat gempa di laut 89 km BaratDaya bantul D.I.Yogyakarta,1
2019-05-27,107.2031178,-6.7,52,0.0,,-1
