Datetime,Latitude,Longitude,Kedalaman,Magnitude,Type,Keterangan,Dirasakan,M,D,MD
3/12/2020,-8.91,110.91,56,3.6,MLv,"
	Pusat gempa di laut 84 km BaratDaya Pacitan-Jatim
",TIDAK,M3,D1,M3D1
3/13/2020,-9.14,112.51,40,3.1,M,"
	Pusat gempa di laut, 111 Km Barat Daya Malang - JATIM
",TIDAK,M3,D1,M3D1
3/14/2020,-6.2,108.0877222,32,0,,,,,,
3/15/2020,-8.97,110.46,10,3.2,M,"
	Pusat gempa di laut, 82 km BaratDaya Pacitan Jatim
",TIDAK,M3,D1,M3D1
3/16/2020,-0.7,110.7697652,32,0,,,,,,
3/17/2020,-0.2,119.2683715,32,0,,,,,,
3/18/2020,-9.25,112.41,22,3.7,M,"
	Pusat gempa di laut 124 km BaratDaya KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1
3/19/2020,-10.78,112.65,10,3.8,M,"
	Pusat gempa di laut 293 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1
3/20/2020,-6.7,116.8340816,32,0,,,,,,
3/21/2020,-0.1,115.6691476,32,0,,,,,,
3/22/2020,-8.4,110.67,12,2.7,MLv,"
	Pusat gempa di laut 45 km Tenggara gunungkidul-DIY
",TIDAK,M2,D1,M2D1
3/23/2020,-9.77,113.04,10,4,M,"
	Pusat gempa di laut, 183 km BaratDaya LUMAJANG-JATIM
",TIDAK,M3,D1,M3D1
3/24/2020,-9.14,112.87,15,3.1,MLv,"
	Pusat gempa di laut 116 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1
3/25/2020,-7.79,111.38,17,2.2,MLv,"
	Pusat gempa di darat 12 km BaratLaut Ponorogo-Jatim
",TIDAK,M2,D1,M2D1
3/26/2020,-9.16,113.5,46,2.8,MLv,"
	Pusat gempa di laut 108 km BaratDaya JEMBER-JATIM
",TIDAK,M2,D1,M2D1
3/27/2020,-9.63,112.92,10,3.3,MLv,"
	Pusat gempa dilaut 169 km BaratDaya LUMAJANG-JATIM
",TIDAK,M3,D1,M3D1
3/28/2020,-8.43,108.92,18,3.1,MLv,"
	Pusat gempa di laut 78 km BaratDaya Cilacap-Jateng
",TIDAK,M3,D1,M3D1
3/29/2020,-9,110.44,10,2.8,MLv,"
	Pusat gempa di laut 113 Km BaratDaya GUNUNGKIDUL -DIY
",TIDAK,M2,D1,M2D1
3/30/2020,-7.48,111.55,20,2.6,MLv,"Pusat gempa di darat, 12 km Tenggara NGAWI-JATIM",TIDAK,M2,D1,M2D1
3/31/2020,-9.76,112.8,30,3.5,MLv,"
	Pusat gempa dilaut 182 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1
4/1/2020,-9,109.98,10,3.2,MLv,"
	Pusat gempa di laut 128 km BaratDaya bantul-DIY
",TIDAK,M3,D1,M3D1
4/2/2020,-0.9,106.2489317,40,0,,,,,,
4/3/2020,-9.36,113.38,10,3.1,MLv,"
	Pusat gempa dilaut 132 km BaratDaya JEMBER JATIM
",TIDAK,M3,D1,M3D1
4/4/2020,-6.89,113.85,13,2.9,MLv,"
	Pusat gempa di darat 7 km Barat Laut Sumenep Jawa Timur dirasakan II MMI di Sumenep - Madura
",YA,M2,D1,M2D1
4/5/2020,-9.02,113.04,60,4.9,Mw-mB,"
	Pusat gempa di laut 100 km BaratDaya LUMAJANG-JATIM
",TIDAK,M4,D2,M4D2
4/6/2020,-8.52,110.76,65,3,MLv,"
	Pusat gempa di laut 53 km BaratDaya Pacitan - Jatim&nbsp;
",TIDAK,M2,D2,M2D2
4/7/2020,-8.45,111.1,106,3.3,MLv,"
	Pusat gempa di laut, 30 km BaratDaya PACITAN-JATIM
",TIDAK,M3,D2,M3D2
4/8/2020,-2.2,118.1186727,40,0,,,,,,
4/9/2020,-9.15,113.02,15,3.3,MLv,"
	Di Laut 115 Km Barat Daya Lumajang - JATIM
",TIDAK,M3,D1,M3D1
4/10/2020,-0.3,116.5626393,42,0,,,,,,
4/11/2020,-7.97,110.41,7,2.2,MLv,"
	Pusat gempa di darat 9 km Tenggara Bantul DIY
",TIDAK,M2,D1,M2D1
4/12/2020,-5.6,118.6624945,42,0,,,,,,
4/13/2020,-4.8,111.8377745,42,0,,,,,,
4/14/2020,-9.5,112.83,19,3,MLv,"
	Pusat gempa di laut 154 km tenggara Malang-Jatim
",TIDAK,M2,D1,M2D1
4/15/2020,-8.82,112.51,40,4.3,MLv,"
	Pusat gempa di laut 76 km BaratDaya KAB-MALANG-JATIM dirasakan di&nbsp; Kepanjen - Malang II-III MMI, Trenggalek, Tulungagung, Krangkates,&nbsp; II MMI
",YA,M4,D1,M4D1
4/16/2020,-8.88,111.35,10,4.4,MLv,"
	Pusat gempa di laut 82 km Tenggara Pacitan Jatim
",TIDAK,M4,D1,M4D1
4/17/2020,-10.4,113.3,22,4.3,M,"
	Pusat gempa dilaut 247 km BaratDaya JEMBER-JATIM
",TIDAK,M4,D1,M4D1
4/18/2020,-0.2,117.3126436,42,0,,,,,,
4/19/2020,-8.45,113.6,134,2.9,MLv,"
	Pusat gempa di laut 28 km BaratDaya JEMBER-JATIM
",TIDAK,M2,D2,M2D2
4/20/2020,0.8,106.1572066,42,0,,,,,,
4/21/2020,-11.17,113,23,4.4,M,"
	Pusat gempa di laut 338 km BaratDaya Jember-Jatim
",TIDAK,M4,D1,M4D1
4/22/2020,-8.86,110.68,28,3.2,MLv,"
	Pusat gempa di laut, 89 km BaratDaya PACITAN-JATIM
",TIDAK,M3,D1,M3D1
4/23/2020,-10.55,112.51,30,4,MLv,"
	
		Pusat gempa di laut 268 km BaratDaya KAB-MALANG-JATIM


	&nbsp;
",TIDAK,M3,D1,M3D1
4/24/2020,-6.6,109.034566,42,0,,,,,,
4/25/2020,0.1,112.9934009,42,0,,,,,,
4/26/2020,-8.22,109.09,26,3.2,MLv,"
	Pusat gempa di laut 55 km Tenggara Cilacap Jateng
",TIDAK,M3,D1,M3D1
4/27/2020,-1.6,110.2846467,42,0,,,,,,
4/28/2020,-8.43,110.82,15,3.1,MLv,"
	Pusat gempa di laut 42 km barat daya Pacitan - JATIM
",TIDAK,M3,D1,M3D1
4/29/2020,-2.3,112.5308304,42,0,,,,,,
4/30/2020,-3.1,110.279419,42,0,,,,,,
5/1/2020,-8.13,108.52,10,4.4,MLv,"
	Pusat gempa di laut 47 km Tenggara Kab Pangandaran-Jabar
",TIDAK,M4,D1,M4D1
5/2/2020,-8.97,110.56,60,3.2,MLv,"
	Pusat gempa di laut, 107 km BaratDaya PACITAN - JATIM
",TIDAK,M3,D2,M3D2
5/3/2020,-9.632,111.91687,11,3.7,MLv,"
	Pusat gempa dilaut&nbsp; 169 km BaratDaya KAB-BLITAR-JATIM
",TIDAK,M3,D1,M3D1
5/4/2020,-8.75,110.09,24,3.4,M,"
	Pusat gempa di laut 98 km BaratDaya Bantul-DIY
",TIDAK,M3,D1,M3D1
5/5/2020,-7.868,110.53719,13,2.8,MLv,"Pusat gempa didarat, 16 km BaratLaut GUNUNGKIDUL-DIY",TIDAK,M2,D1,M2D1
5/6/2020,-8.405,109.05298,15,3.2,MLv,"
	Pusat gempa di laut 75 km tenggara Cilacap-Jateng
",TIDAK,M3,D1,M3D1
5/7/2020,-8.21,110.4,46,3.3,MLv,"
	Pusat gempa di laut 115 Barat Daya&nbsp; Bantul -DIY
",TIDAK,M3,D1,M3D1
5/8/2020,-8.705,111.4713,66,2.9,MLv,"
	Pusat gempa di laut 71 km Tenggara PACITAN-JATIM
",TIDAK,M2,D2,M2D2
5/9/2020,-9.08,112.58,27,3.3,MLv,"
	Pusat gempa dilaut 104 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1
5/10/2020,-9.108,112.45864,33,3.6,MLv,"Pusat gempa di laut, 108 km BaratDaya KAB-MALANG-JATIM",TIDAK,M3,D1,M3D1
5/11/2020,-9.571,113.78011,7,3.3,MLv,"
	Pusat gempa di laut 153 km Tenggara Jember-Jatim
",TIDAK,M3,D1,M3D1
5/12/2020,-9.79,110.53,10,3.8,MLv,"
	Pusat gempa di laut, 190 km BaratDaya PACITAN-JATIM
",TIDAK,M3,D1,M3D1
5/13/2020,-1,119.2227482,52,0,,,,,,
5/14/2020,-9.56,112.99,9,3.7,MLv,"
	Pusat gempa di laut 160 km Barat daya LUMAJANG JATIM
",TIDAK,M3,D1,M3D1
5/15/2020,-8.842,110.32057,22,3.2,MLv,"
	pusat gempa di laut, 99 km Barat Daya Gunung Kidul DIY
",TIDAK,M3,D1,M3D1
5/16/2020,-8.45,110.58,10,3.4,MLv,"
	Pusat gempa di laut 51 km BaratDaya Gunungkidul-DIY
",TIDAK,M3,D1,M3D1
5/17/2020,-10.19,108.77,10,4.4,MLv,"
	Pusat gempa di laut 275 km BaratDaya CILACAP-JATENG.&nbsp;Dirasakan di Cilacap I-II MMI
",YA,M4,D1,M4D1
5/18/2020,-8.99,109.34,10,3.4,MLv,"
	Pusat gempa dilaut 146 km Tenggara CILACAP-JATENG
",TIDAK,M3,D1,M3D1
5/19/2020,-8.93,112.66,35,3.8,MLv,"
	Pusat gempa dilaut,&nbsp; 88 km Tenggara MALANG-JATIM
",TIDAK,M3,D1,M3D1
5/20/2020,-3.3,119.3243492,52,0,,,,,,
5/21/2020,-6,112.7256909,52,0,,,,,,
5/22/2020,-6.8,112.9222403,52,0,,,,,,
5/23/2020,-9.225,113.47899,29,3.1,MLv,"
	Pusat gempa di laut 115 km BaratDaya JEMBER-JATIM
",TIDAK,M3,D1,M3D1
5/24/2020,-8.403,109.24878,79,3,MLv,"
	Pusat gempa di laut 79 km Tenggara CILACAP-JATENG
",TIDAK,M2,D2,M2D2
5/25/2020,-4.8,113.0815904,52,0,,,,,,
5/26/2020,-2.6,118.9729996,52,0,,,,,,
5/27/2020,-4.9,116.9400904,52,0,,,,,,
5/28/2020,-9.3,113.54,23,4.1,MLv,"
	Pusat gempa dilaut&nbsp;123 km BaratDaya JEMBER-JATIM
",TIDAK,M4,D1,M4D1
5/29/2020,0.5,110.2643138,52,0,,,,,,
5/30/2020,0.3,110.8092023,52,0,,,,,,
5/31/2020,0.2,116.9596874,52,0,,,,,,
6/1/2020,-8.39,108.57,19,3.8,MLv,"
	Pusat gempa di laut, 77 km Tenggara KAB-PANGANDARAN-JABAR
",TIDAK,M3,D1,M3D1
6/2/2020,-8.36,110.39,102,2.8,MLv,"
	47 km BaratDaya Gunungkidul -&nbsp;DIY
",TIDAK,M2,D2,M2D2
6/3/2020,-9.426,113.95071,24,3.4,MLv,"
	Pusat gempa di laut 139 km BaratDaya JEMBRANA-BALI
",TIDAK,M3,D1,M3D1
6/4/2020,0.3,110.065012,60,0,,,,,,
6/5/2020,-9.33,114,22,3.5,MLv,"
	Pusat gempa di laut 127 km BaratDaya Jembrana-Bali
",TIDAK,M3,D1,M3D1
6/6/2020,-10.75,113.8,10,3.7,M,"
	Pusat gempa dilaut 268 km baratdaya Nusadua - Bali
",TIDAK,M3,D1,M3D1
6/7/2020,-7.16,108.76,220,3.6,MLv,"
	Pusat gempa di darat. 34 km TimurLaut BANJAR-JABAR
",TIDAK,M3,D2,M3D2
6/8/2020,-4.9,107.4242201,60,0,,,,,,
6/9/2020,-8.911,111.34086,5,3.6,MLv,"
	Pusat gempa di laut 85 km Tenggara-Pacitan
",TIDAK,M3,D1,M3D1
6/10/2020,-7.201,111.90614,611,3.9,M,"
	Pusat gempa di darat, 5 km Tenggara BOJONEGORO-JATIM
",TIDAK,M3,D3,M3D3
6/11/2020,-8.336,110.24966,10,2.5,MLv,"
	Pusat gempa di laut, 49 km BaratDaya BANTUL-DIY
",TIDAK,M2,D1,M2D1
6/12/2020,-7.9,106.1458927,62,0,,,,,,
6/13/2020,-3.3,119.2261189,62,0,,,,,,
6/14/2020,-8.498,110.27724,84,2.7,MLv,"
	Pusat gempa di laut 66 km BaratDaya BANTUL-DIY
",TIDAK,M2,D2,M2D2
6/15/2020,-7,118.5306153,62,0,,,,,,
6/16/2020,-8.723,110.20402,30,3.2,MLv,"
	Pusat gempa dilaut 92 km Barat daya Bantul DIY
",TIDAK,M3,D1,M3D1
6/17/2020,-9.722,112.64528,50,4.1,MLv,"
	Pusat gempa di laut 176 km Tenggara KAB-MALANG-JATIM
",TIDAK,M4,D1,M4D1
6/18/2020,-9.987,113.79302,10,3.3,MLv,"
	Pusat gempa di laut, 199 km Tenggara JEMBER-JATIM
",TIDAK,M3,D1,M3D1
6/19/2020,-4.8,107.0712363,62,0,,,,,,
6/20/2020,-8.988,109.95959,22,3.3,MLv,"
	Pusat gempa di laut 128 km BaratDaya Bantul-DIY
",TIDAK,M3,D1,M3D1
6/21/2020,-8.815,110.63357,10,3.2,MLv,"
	Pusat gempa di laut, 88 km BaratDaya PACITAN - JATIM
",TIDAK,M3,D1,M3D1
6/22/2020,0.5,113.886664,62,0,,,,,,
6/23/2020,-8.796,110.76118,90,3.5,MLv,"
	Pusat gempa di laut, 78 km Barat Daya Pacitan Jatim
",TIDAK,M3,D2,M3D2
6/24/2020,-8.01,108.69,96,3.5,MLv,"
	Pusat gempa di laut 40 km Tenggara Kab-Pangandaran-Jabar
",TIDAK,M3,D2,M3D2
6/25/2020,-8.332,110.74659,33,2.8,MLv,"
	Pusat gempa di laut 40 km Tenggara GUNUNGKIDUL-DIY
",TIDAK,M2,D1,M2D1
6/26/2020,-9.495,113.63136,10,4.6,MLv,"
	Pusat gempa di laut,&nbsp;144 km BaratDaya JEMBER-JATIM
",TIDAK,M4,D1,M4D1
6/27/2020,-9.109,111.23708,18,3.4,MLv,"
	Pusat gempa di laut 104 km Tenggara PACITAN-JATIM
",TIDAK,M3,D1,M3D1
6/28/2020,-8.796,108.75292,10,3.2,MLv,"
	Pusat gempa di laut 122 km BaratDaya CILACAP-JATENG
",TIDAK,M3,D1,M3D1
6/29/2020,-9.102,111.3781,13,3.4,MLv,"
	Pusat gempa di laut 106 km Tenggara PACITAN-JATIM
",TIDAK,M3,D1,M3D1
6/30/2020,-7.7,119.0171544,62,0,,,,,,
7/1/2020,-6.5,115.3189583,70,0,,,,,,
7/2/2020,-8.858,110.28049,59,3.3,M,"
	Pusat gempa dilaut 102 km BaratDaya Gunungkidul - DIY
",TIDAK,M3,D1,M3D1
7/3/2020,-6.5,116.7619776,70,0,,,,,,
7/4/2020,-9.106,112.27888,62,5.5,MLv,"
	Pusat gempa di laut 108 km Tenggara KAB-BLITAR-JATIM
",TIDAK,M5,D2,M5D2
7/5/2020,-1.2,110.2213831,70,0,,,,,,
7/6/2020,-6.6,110.2136785,70,0,,,,,,
7/7/2020,-8.959,112.11825,30,3.6,MLv,"
	Pusat gempa dilaut 92 km BaratDaya Blitar - Jatim&nbsp;
",TIDAK,M3,D1,M3D1
7/8/2020,-7.944,109.25535,93,3.1,MLv,"
	Pusat gempa di laut 36 km Tenggara CILACAP - JATENG
",TIDAK,M3,D2,M3D2
7/9/2020,-8.415,111.39367,98,3.4,MLv,"
	Pusat gempa di laut 41 km Tenggara PACITAN-JATIM
",TIDAK,M3,D2,M3D2
7/10/2020,-7.53,111.92,237,3.8,M,"
	Pusat gempa di darat, 8 km TimurLaut NGANJUK-JATIM.
",TIDAK,M3,D2,M3D2
7/11/2020,-3.5,117.4822393,72,0,,,,,,
7/12/2020,-8.79,109.89,10,5.2,MLv,"
	Pusat gempa di laut 110 km BaratDaya Bantul - DIY
",TIDAK,M5,D1,M5D1
7/13/2020,-7.917,110.43456,16,1.8,MLv,"
	Pusat gempa di darat 9 km Tenggara BANTUL - DIY
",TIDAK,M1,D1,M1D1
7/14/2020,-9.13,111.04,15,3.6,MLv,"
	Pusat gempa di laut 105 km BaratDaya PACITAN - JATIM
",TIDAK,M3,D1,M3D1
7/15/2020,-8.877,111.32726,16,3.5,M,"
	Pusat gempa dilaut 81 km tenggara Pacitan-Jatim
",TIDAK,M3,D1,M3D1
7/16/2020,-9.47,112.56,30,3.9,MLv,"
	Pusat gempa di laut 148 km Barat daya Kab. Malang Jatim
",TIDAK,M3,D1,M3D1
7/17/2020,-7.853,110.44952,16,2,MLv,"
	Pusat gempa didarat 12 km Timurlaut Bantul - DIY
",TIDAK,M1,D1,M1D1
7/18/2020,-6.7,119.6372794,72,0,,,,,,
7/19/2020,-8.636,110.35792,22,2.7,MLv,"
	Pusat gempa dilaut 76 Barat daya Gunung Kidul DIY
",TIDAK,M2,D1,M2D1
7/20/2020,-9.513,113.96574,10,3.5,M,"
	Pusat gempa dilaut 147 km BaratDaya JEMBRANA-BALI
",TIDAK,M3,D1,M3D1
7/21/2020,-8.757,113.71957,80,2.9,MLv,"
	Pusat gempa di laut, 63 km Tenggara JEMBER - JATIM
",TIDAK,M2,D2,M2D2
7/22/2020,-9.562,112.82043,10,3.8,MLv,"
	Pusat gempa di laut 160 km tenggara Kab. Malang - JATIM
",TIDAK,M3,D1,M3D1
7/23/2020,-8.914,110.70826,10,2.9,MLv,"
	Pusat gempa di laut 92 km BaratDaya PACITAN-JATIM
",TIDAK,M2,D1,M2D1
7/24/2020,-9.373,112.24088,30,3.9,M,"
	Peusat gempa dilaut 137 Tenggara Kab. Blitar - Jawa Timur
",TIDAK,M3,D1,M3D1
7/25/2020,-9.45,113.71,11,3,MLv,"
	Pusat gempa dilaut 129 km baratdaya Banyuwangi - Jatim
",TIDAK,M2,D1,M2D1
7/26/2020,-6.3,114.3106278,72,0,,,,,,
7/27/2020,-7.9,108.7,74,3.5,MLv,"
	Pusat gempa di laut 32 km Tenggara Pangandaran Jabar
",TIDAK,M3,D2,M3D2
7/28/2020,-8.63,108.73,10,3.8,MLv,"
	Pusat gempa di laut 104 Km Barat Daya Cilacap - Jateng
",TIDAK,M3,D1,M3D1
7/29/2020,-7.6,115.4373483,72,0,,,,,,
7/30/2020,-2.2,111.20924,72,0,,,,,,
7/31/2020,-2.5,108.2860228,72,0,,,,,,
8/1/2020,-7.88,111.26,22,2.7,MLv,"
	Pusat gempa di darat 21 km from Ponorogo Jatim (seiscomp)
",TIDAK,M2,D1,M2D1
8/2/2020,-7.88,111.26,22,0,,,,,,
8/3/2020,-9.482,113.79288,6,3.3,MLv,"
	Pusat gempa di laut 144 km Tenggara JEMBER-JATIM
",TIDAK,M3,D1,M3D1
8/4/2020,-7.997,110.44828,8,2.6,MLv,"
	Pusat gempa didarat 14 km Tenggara BANTUL-DIY
",TIDAK,M2,D1,M2D1
8/5/2020,-10.34,113.17339,37,4,M,"
	Pusat gempa di laut, 243 km BaratDaya JEMBER-JATIM
",TIDAK,M3,D1,M3D1
8/6/2020,-8.379,109.78881,10,2.8,MLv,"
	Pusat gempa di laut, 75 km BaratDaya KULONPROGO - DIY
",TIDAK,M2,D1,M2D1
8/7/2020,-8.68,110.15,28,3,MLv,"
	Pusat gempa di laut 88 Km Barat Daya Bantul - DIY
",TIDAK,M2,D1,M2D1
8/8/2020,-9.087,110.20969,95,3,MLv,"
	Pusat gempa di laut 129 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M2,D2,M2D2
8/9/2020,-9.437,110.19714,30,4.7,MLv,"
	Pusat gempa di laut, 166 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M4,D1,M4D1
8/10/2020,0.4,106.5913308,82,0,,,,,,
8/11/2020,-7.7,113.2004554,82,0,,,,,,
8/12/2020,-9.14,110.73534,10,3,MLv,"
	Pusat gempa di laut 114 km BaratDaya PACITAN-JATIM
",TIDAK,M2,D1,M2D1
8/13/2020,-8.956,111.18075,10,3.1,MLv,"
	Pusat gempa dilaut 86 km tenggara Pacitan Jatim
",TIDAK,M3,D1,M3D1
8/14/2020,-9.975,113.51611,20,3.8,M,"
	Pusat gempa dilaut 198 km BaratDaya JEMBER-JATIM
",TIDAK,M3,D1,M3D1
8/15/2020,-9.515,113.9836,10,4.1,MLv,"
	Pusat gempa di laut 146 km BaratDaya JEMBRANA - BALI
",TIDAK,M4,D1,M4D1
8/16/2020,-9.45,114,10,3.8,MLv,"
	Pusat gempa dilaut&nbsp; 139 km BaratDaya JEMBRANA-BALI
",TIDAK,M3,D1,M3D1
8/17/2020,-8.648,108.71758,30,3.4,MLv,"
	Pusat gempa di laut 107 km BaratDaya CILACAP-JATENG

	&nbsp;
",TIDAK,M3,D1,M3D1
8/18/2020,-1.5,109.5196145,82,0,,,,,,
8/19/2020,-8.601,111.10609,10,3.2,MLv,"
	Pusat gempa dilaut 46 km Tenggara PACITAN-JATIM
",TIDAK,M3,D1,M3D1
8/20/2020,-8.459,110.55875,10,2.5,MLv,"
	Pusat Gempa di Laut, 52 km BaratDaya GUNUNGKIDUL - DIY
",TIDAK,M2,D1,M2D1
8/21/2020,-7.1,109.0308458,82,0,,,,,,
8/22/2020,-1.4,112.5710669,82,0,,,,,,
